,T1.txt,T10.txt,T2.txt,T3.txt,T4.txt,T5.txt,T6.txt,T7.txt,T8.txt,T9.txt
abandon,1,0,0,0,0,0,0,0,2,0
abbrevi,0,0,1,0,0,0,0,0,0,0
abdomen,0,0,1,0,0,0,0,0,0,0
abdomin,0,0,1,0,0,0,0,0,0,0
aberdeen,0,0,0,0,0,0,0,0,0,1
abey,0,0,1,0,0,0,0,0,0,0
abid,0,0,0,0,0,0,0,0,1,0
abil,0,0,1,0,0,0,0,0,0,0
abl,4,2,6,7,0,0,0,3,0,1
abroad,0,1,0,0,0,0,0,0,0,0
absenc,0,0,1,2,0,2,0,0,0,0
absent,0,0,1,0,1,0,0,0,0,0
absolut,0,1,0,0,0,1,0,0,2,0
absorb,3,0,2,0,2,0,0,2,1,0
absorpt,0,0,0,1,0,1,0,1,0,0
absurdli,0,0,0,0,0,0,0,0,0,1
abund,0,0,6,1,0,0,0,0,0,1
abundantli,0,0,1,0,0,0,0,0,0,0
abyss,0,0,3,0,0,0,0,0,0,1
accept,1,1,0,2,1,2,0,0,4,0
access,0,0,0,0,0,0,0,0,12,0
accident,1,0,0,0,0,0,0,0,0,0
accompani,0,0,0,0,0,1,1,0,0,1
accomplish,3,0,1,0,0,0,0,0,0,0
accord,1,0,1,4,0,0,0,1,2,0
account,2,0,2,6,0,0,0,2,1,2
accret,0,0,0,1,0,0,0,1,0,0
accumul,1,0,5,4,1,0,0,0,0,0
accur,0,0,0,1,2,0,0,0,0,2
accuraci,0,0,0,0,2,0,0,0,0,1
achiev,0,0,1,2,0,0,0,0,0,0
acid,0,0,0,4,0,0,0,0,0,0
acknowledg,0,0,1,0,0,0,0,0,0,0
acquiesc,0,0,0,0,0,0,0,0,0,1
acquir,1,1,0,1,0,1,0,1,1,0
acquisit,1,0,4,3,0,0,0,0,0,0
across,2,2,1,0,4,1,2,0,1,3
act,1,0,0,7,2,2,0,0,5,1
action,1,1,5,11,0,1,0,0,5,0
activ,14,1,2,14,0,0,1,6,2,3
actual,2,1,1,0,2,2,1,2,5,3
acut,0,1,0,0,0,0,0,0,0,0
ad,0,0,1,0,1,1,0,0,1,1
adam,0,0,0,0,0,0,0,0,0,2
adapt,2,1,9,3,1,0,2,0,0,9
add,1,0,0,0,0,0,0,0,0,0
addit,2,0,0,0,0,0,0,1,6,2
address,0,0,0,0,0,0,0,0,3,0
adequ,0,0,0,0,0,1,0,0,0,0
adjust,0,0,2,2,2,0,0,0,0,0
admir,0,2,0,0,0,0,0,0,0,1
admit,0,0,2,0,0,0,0,0,0,1
